"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"C9orf3","ILMN_1674629","4584","A_24_P89887","212848_s_at","212848_s_at","A_23_P73012","212848_s_at","212848_s_at","212848_s_at",0.309243678544877,-0.158230790247064,0.0910794871746174,4.30424777046241e-05,0.0237760666751693
"ASPN","ILMN_1801583","9342","A_23_P216429","219087_at","219087_at","A_23_P216429","219087_at","219087_at","219087_at",0.325393057406254,-0.166515858431027,0.100820683088592,4.33342649000656e-05,0.0237760666751693
"LUM","ILMN_1790529","26119","A_24_P270279","201744_s_at","201744_s_at","A_23_P99063","201744_s_at","201744_s_at","201744_s_at",0.304102125293541,-0.173093883339762,0.0832932989612551,6.54109176727299e-05,0.0326859945206682
"NRTN","ILMN_1665319","24697","A_23_P90359","210683_at","210683_at","A_23_P90359","210683_at","210683_at","210683_at",-0.310699269223935,0.146706432535233,-0.0788203303021954,6.95024184825874e-05,0.0326859945206682
"SCRG1","ILMN_1726204","1205","A_23_P167159","205475_at","205475_at","A_23_P167159","205475_at","205475_at","205475_at",0.310719359592609,-0.140790243462077,0.119297005569797,8.47253592498308e-05,0.0370709847132305
"CXCL14","ILMN_1748323","8693","A_23_P213745","222484_s_at","218002_s_at","A_23_P213745","222484_s_at","218002_s_at","218002_s_at",0.304737339321287,-0.161543837768157,0.0885747793211759,9.06576216996141e-05,0.0370709847132305
"CYP27B1","ILMN_1740418","22818","A_23_P36397","205676_at","205676_at","A_23_P36397","205676_at","205676_at","205676_at",-0.297469163725824,0.148481146482708,-0.0900780722122032,9.91314868103749e-05,0.0370709847132305
"CDHR1","ILMN_1663716","8500","A_23_P149946","213369_at","213369_at","A_23_P149946","213369_at","213369_at","213369_at",-0.286870900115247,0.129100076595772,-0.116370198757193,0.000102462513899627,0.0370709847132305
"KIAA0753","ILMN_1680010","3035","A_23_P89543","204711_at","204711_at","A_23_P89543","204711_at","204711_at","204711_at",-0.290818369878888,0.157868574275935,-0.0883595327710816,0.000107536752316128,0.0370709847132305
"COLEC11","ILMN_1735192","29913","A_24_P388322","219873_at","219873_at","A_23_P120125","219873_at","219873_at","219873_at",-0.285537046049837,0.128591074829502,-0.0977039431009283,0.000123111180433509,0.0370709847132305
"NOL3","ILMN_1813925","10792","A_23_P206371","221567_at","221567_at","A_23_P206371","221567_at","221567_at","221567_at",-0.291034496539736,0.150158319642388,-0.113065275993849,0.000131564983120449,0.0370709847132305
"FERMT2","ILMN_1695290","29852","A_23_P88347","209210_s_at","209210_s_at","A_23_P88347","209210_s_at","209210_s_at","209210_s_at",0.279646869440638,-0.138816659076277,0.0953628708629882,0.00013170753175216,0.0370709847132305
"ENPP1","ILMN_1700888","25597","A_23_P156880","205066_s_at","205066_s_at","A_23_P156880","205066_s_at","205066_s_at","205066_s_at",0.301268663250191,-0.14985859690951,0.0931877165053983,0.000132892716822375,0.0370709847132305
"LMCD1","ILMN_1754969","24022","A_23_P6771","218574_s_at","218574_s_at","A_23_P6771","218574_s_at","218574_s_at","218574_s_at",0.289103655654859,-0.172805662344039,0.0774292728169011,0.000135131171494157,0.0370709847132305
"C5AR1","ILMN_1689836","20612","A_23_P303058","220088_at","220088_at","A_23_P153562","220088_at","220088_at","220088_at",0.292945537354261,-0.140235543991902,0.109356953868223,0.000153116470471501,0.0395377307048001
"CUL9","ILMN_1806010","2230","A_32_P51714","213204_at","213204_at","A_23_P311740","213204_at","213204_at","213204_at",-0.276020321074186,0.147582603415528,-0.102137433007878,0.000156133201446659,0.0395377307048001
"PAQR6","ILMN_1737631","24652","A_23_P97283","219236_at","219236_at","A_23_P97283","219236_at","219236_at","219236_at",-0.274735088501901,0.142687309319451,-0.0922655873813021,0.000165433640075069,0.0403412994908982
"CUL7","ILMN_1672393","24258","A_23_P19348","36084_at","36084_at","A_23_P19348","36084_at","36084_at","36084_at",-0.282259942497274,0.132682647531604,-0.107649988060912,0.00018180792859946,0.0406682929735964
"AMT","ILMN_1665331","3102","A_24_P174503","204294_at","204294_at","A_23_P257164","204294_at","204294_at","204294_at",-0.276237919765211,0.137706138263153,-0.105527889319281,0.000183942145654414,0.0406682929735964
