"Genes","E.MTAB.386_eset","GSE13876_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","GSE32062.GPL6480_eset","Pooled.Cox.Coefficient","P","FDR"
"GZMB","ILMN_1653280","12639","A_23_P117602","210164_at","210164_at","210164_at","210164_at","210164_at","A_23_P117602",-0.160606303915602,0.000104568161429547,0.0219310522349536
"CXCL14","ILMN_1748323","27823","A_23_P213745","222484_s_at","218002_s_at","222484_s_at","218002_s_at","218002_s_at","A_23_P213745",0.151774965180932,0.000113420999688621,0.0231617620416762
"PJA2","ILMN_1688702","13478","A_23_P133470","201133_s_at","201133_s_at","201133_s_at","201133_s_at","201133_s_at","A_23_P133470",0.148354636499321,0.000117122585889741,0.023292674107368
"TESK1","ILMN_1791067","34628","A_23_P169178","204106_at","204106_at","204106_at","204106_at","204106_at","A_23_P169178",-0.155169235437255,0.00012006533045035,0.023292674107368
"MATN3","ILMN_1663171","26140","A_23_P102058","206091_at","206091_at","206091_at","206091_at","206091_at","A_23_P102058",0.143020830569269,0.000124760175643564,0.0236131454388794
"ITGB7","ILMN_1662626","22293","A_23_P76529","205718_at","205718_at","205718_at","205718_at","205718_at","A_23_P76529",-0.150951311481763,0.000130745847170917,0.0241568517630075
"ISG20","ILMN_1659913","13158","A_23_P32404","33304_at","33304_at","33304_at","33304_at","33304_at","A_23_P32404",-0.149614503896092,0.000143688281573008,0.0244895774422273
"ADH1B","ILMN_1811598","31075","A_24_P940469","209612_s_at","209612_s_at","209612_s_at","209612_s_at","209612_s_at","A_24_P940469",0.145797529022536,0.000144276305012428,0.0244895774422273
"HLA.DOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.155715594095546,0.00014436159273927,0.0244895774422273
"EXTL2","ILMN_1797950","13810","A_23_P118","209537_at","209537_at","209537_at","209537_at","209537_at","A_23_P118",0.151002410782882,0.000145170175559595,0.0244895774422273
"COL16A1","ILMN_1684554","21226","A_23_P160318","204345_at","204345_at","204345_at","204345_at","204345_at","A_23_P160318",0.145300535966385,0.000162171367329301,0.024872411246822
"URI1","ILMN_1798728","8737","A_23_P119418","214173_x_at","214173_x_at","214173_x_at","214173_x_at","214173_x_at","A_23_P119418",0.14806678721376,0.00016227067055547,0.024872411246822
"SLC20A2","ILMN_1813763","9988","A_23_P94921","231818_x_at","202744_at","231818_x_at","202744_at","202744_at","A_23_P94921",0.148271081997668,0.000169490935100015,0.024872411246822
"JMJD1C","ILMN_1764970","17732","A_23_P427217","221763_at","221763_at","221763_at","221763_at","221763_at","A_23_P300301",0.153997341572672,0.000169569420613577,0.024872411246822
"FERMT2","ILMN_1695290","26705","A_23_P88347","209210_s_at","209210_s_at","209210_s_at","209210_s_at","209210_s_at","A_23_P88347",0.152557748508584,0.000169913204276945,0.024872411246822
"KCNV1","ILMN_1736303","23246","A_23_P146125","215736_at","215736_at","215736_at","215736_at","215736_at","A_23_P146125",0.146425953347504,0.000169992426629799,0.024872411246822
"NFS1","ILMN_1761314","25922","A_23_P102842","218455_at","218455_at","218455_at","218455_at","218455_at","A_23_P102842",0.14386422877439,0.00018075834763893,0.024872411246822
"PDGFD","ILMN_1803094","7655","A_24_P124349","219304_s_at","219304_s_at","219304_s_at","219304_s_at","219304_s_at","A_24_P124349",0.140257209487033,0.000180912194751309,0.024872411246822
"GALNT10","ILMN_1681984","21676","A_24_P161964","212256_at","212256_at","212256_at","212256_at","212256_at","A_24_P234871",0.150088806069141,0.000182030752728522,0.024872411246822
"AVPI1","ILMN_1671731","35460","A_23_P1492","218631_at","218631_at","218631_at","218631_at","218631_at","A_23_P1492",0.145090624229762,0.000185649550882696,0.024872411246822
"DCN","ILMN_1666672","792","A_23_P64873","201893_x_at","201893_x_at","201893_x_at","201893_x_at","201893_x_at","A_23_P64873",0.155496110736623,0.000186099488139543,0.024872411246822
"GPC1","ILMN_1801516","14929","A_23_P209904","202756_s_at","202756_s_at","202756_s_at","202756_s_at","202756_s_at","A_23_P209904",0.149345787177056,0.000187981320993879,0.024872411246822
"FSTL1","ILMN_1715426","16954","A_23_P212696","208782_at","208782_at","208782_at","208782_at","208782_at","A_23_P212696",0.151569766708797,0.000191820931739239,0.024872411246822
"N4BP2L2","ILMN_1797893","5044","A_24_P935735","202258_s_at","202258_s_at","202258_s_at","202258_s_at","202258_s_at","A_23_P53856",0.147959230059719,0.000192312458093984,0.024872411246822
"NINJ1","ILMN_1815086","23798","A_23_P169137","203045_at","203045_at","203045_at","203045_at","203045_at","A_23_P169137",-0.145483092077125,0.00020941922004519,0.0263170375523908
