"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"UBL4A","ILMN_1742147","21105","A_23_P335988","221746_at","221746_at","A_23_P335988","221746_at","221746_at","221746_at",0.210725734825482,-0.0765002710253547,0.116075468969187,0.00143170092610034,0.0933298900737096
"CH25H","ILMN_1741021","12184","A_23_P86470","206932_at","206932_at","A_23_P86470","206932_at","206932_at","206932_at",0.207622100512261,-0.0765399077393002,0.116135610588269,0.00146667211477392,0.0946722470948184
"NPPB","ILMN_1763382","24071","A_23_P62752","206801_at","206801_at","A_23_P62752","206801_at","206801_at","206801_at",-0.248397348730591,0.0751975252174644,-0.114098785376153,0.00148266141895748,0.0947751726448157
"RNF114","ILMN_1792078","14345","A_24_P82957","211678_s_at","200868_s_at","A_24_P82948","211678_s_at","200868_s_at","200868_s_at",0.211401441441196,-0.0760689503058397,0.115421016976759,0.00150010138898921,0.0949023159727849
"SLC30A5","ILMN_1709728","12243","A_24_P37946","218989_x_at","218989_x_at","A_23_P218988","218989_x_at","218989_x_at","218989_x_at",0.209300158403235,-0.0754456596311672,0.114475284936898,0.00151451625864316,0.0949023159727849
"LLGL1","ILMN_1798212","19131","A_23_P130266","236594_at","206123_at","A_23_P130266","236594_at","206123_at","206123_at",-0.217135689879414,0.0781495363345852,-0.118577933884115,0.00153241234823612,0.0949023159727849
"ECE1","ILMN_1672174","1693","A_24_P154080","201749_at","201749_at","A_24_P396375","201749_at","201749_at","201749_at",-0.213554456229462,0.0772958227050089,-0.117282576252173,0.00154414753208108,0.0949023159727849
"PEG3","ILMN_1675331","4701","A_23_P407583","209242_at","209242_at","A_23_P407583","209242_at","209242_at","209242_at",-0.208769681159184,0.0753884750115411,-0.114388517511738,0.00156756499091898,0.0949023159727849
"TSPAN8","ILMN_1683263","21076","A_23_P36531","203824_at","203824_at","A_23_P36531","203824_at","203824_at","203824_at",-0.210558405216739,0.0768777360278286,-0.116648204550308,0.00157113493940364,0.0949023159727849
"SLC25A46","ILMN_1720311","2982","A_23_P133375","212833_at","212833_at","A_23_P133375","212833_at","212833_at","212833_at",0.210541526199915,-0.0760884720864946,0.115450637784819,0.00162921144238944,0.0966866127231248
